System,Chains,Sweeps,Accuracy
JAGS,21,9,1
JAGS,22,9,1
JAGS,23,9,1
JAGS,24,9,1
JAGS,25,9,1
JAGS,26,9,1
JAGS,27,9,1
JAGS,28,9,1
JAGS,29,9,1
JAGS,30,9,1
JAGS,31,9,1
JAGS,32,9,1
JAGS,33,9,1
JAGS,34,9,1
JAGS,35,9,1
JAGS,36,9,1
JAGS,37,9,0.64
JAGS,38,9,1
JAGS,39,9,1
JAGS,40,9,1
JAGS,1,10,1
JAGS,2,10,1
JAGS,3,10,1
JAGS,4,10,1
JAGS,5,10,1
JAGS,6,10,1
JAGS,7,10,1
JAGS,8,10,1
JAGS,9,10,1
JAGS,10,10,1
JAGS,11,10,1
JAGS,12,10,1
JAGS,13,10,1
JAGS,14,10,1
JAGS,15,10,1
JAGS,16,10,1
JAGS,17,10,1
JAGS,18,10,1
JAGS,19,10,1
JAGS,20,10,1
JAGS,21,10,1
JAGS,22,10,1
JAGS,23,10,1
JAGS,24,10,1
JAGS,25,10,1
JAGS,26,10,1
JAGS,27,10,1
JAGS,28,10,1
JAGS,29,10,1
JAGS,30,10,1
JAGS,31,10,1
JAGS,32,10,1
JAGS,33,10,1
JAGS,34,10,1
JAGS,35,10,1
JAGS,36,10,1
JAGS,37,10,0.868
JAGS,38,10,1
JAGS,39,10,1
JAGS,40,10,1
JAGS,1,11,1
JAGS,2,11,1
JAGS,3,11,1
JAGS,4,11,1
JAGS,5,11,1
JAGS,6,11,1
JAGS,7,11,1
JAGS,8,11,1
JAGS,9,11,1
JAGS,10,11,1
JAGS,11,11,1
JAGS,12,11,1
JAGS,13,11,1
JAGS,14,11,1
JAGS,15,11,1
JAGS,16,11,1
JAGS,17,11,1
JAGS,18,11,1
JAGS,19,11,1
JAGS,20,11,1
JAGS,21,11,1
JAGS,22,11,1
JAGS,23,11,1
JAGS,24,11,1
JAGS,25,11,1
JAGS,26,11,1
JAGS,27,11,1
JAGS,28,11,1
JAGS,29,11,1
JAGS,30,11,1
JAGS,31,11,1
JAGS,32,11,1
JAGS,33,11,1
JAGS,34,11,1
JAGS,35,11,1
JAGS,36,11,1
JAGS,37,11,0.996
JAGS,38,11,1
JAGS,39,11,1
JAGS,40,11,1
JAGS,1,12,1
JAGS,2,12,1
JAGS,3,12,1
JAGS,4,12,1
JAGS,5,12,1
JAGS,6,12,1
JAGS,7,12,1
JAGS,8,12,1
JAGS,9,12,1
JAGS,10,12,1
JAGS,11,12,1
JAGS,12,12,1
JAGS,13,12,1
JAGS,14,12,1
JAGS,15,12,1
JAGS,16,12,1
JAGS,17,12,1
JAGS,18,12,1
JAGS,19,12,1
JAGS,20,12,1
JAGS,21,12,1
JAGS,22,12,1
JAGS,23,12,1
JAGS,24,12,1
JAGS,25,12,1
JAGS,26,12,1
JAGS,27,12,1
JAGS,28,12,1
JAGS,29,12,1
JAGS,30,12,1
JAGS,31,12,1
JAGS,32,12,1
JAGS,33,12,1
JAGS,34,12,1
JAGS,35,12,1
JAGS,36,12,1
JAGS,37,12,1
JAGS,38,12,1
JAGS,39,12,1
JAGS,40,12,1
JAGS,1,13,1
JAGS,2,13,1
JAGS,3,13,1
JAGS,4,13,1
JAGS,5,13,1
